_id,title,link1,link2,link3,link4,selectedLink,isTrue
"""6639c033647e53b594533c8d""","ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",https://conferences.sigcomm.org/sigcomm/2024/,https://conferences.sigcomm.org/sigcomm/2024/cfp/,https://conferences.sigcomm.org/sigcomm/2024/tpc/,https://conferences.sigcomm.org/sigcomm/2024/cf-posters/,https://conferences.sigcomm.org/sigcomm/2024/cfp/,link2
"""6639c03c647e53b594533c95""",ACM Conference on Embedded Networked Sensor Systems,http://sensys.acm.org/2024/,http://sensys.acm.org/2024/cfp/,http://sensys.acm.org/2024/people/,http://sensys.acm.org/2024/sponsors/,https://sensys.acm.org/2024/cfp/,link2
"""6639c048647e53b594533ca3""",ACM International Conference on Emerging Networking Experiments and Technologies,"https://www.sigcomm.org/events/conext-conference#:~:text=CoNEXT'24%2C%20Los%20Angeles%2C,%2C%209%2D12%20December%202024.",https://conferences.sigcomm.org/co-next/2024/,https://conferences.sigcomm.org/co-next/2024/#!/cfp,https://conferences.sigcomm.org/co-next/2024/#!/cfw,https://conferences.sigcomm.org/co-next/2024/#!/home,
"""6639c075647e53b594533cd5""",ACM Special Interest Group on Management of Data Conference,https://2024.sigmod.org/,https://2024.sigmod.org/calls_papers_important_dates.shtml,https://2024.sigmod.org/calls_papers_sigmod_research.shtml,https://2024.sigmod.org/calls_industrial_track_papers.shtml,https://2024.sigmod.org/calls_papers_sigmod_research.shtml,link3
"""6639c079647e53b594533cd9""","ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",https://www.sacmat.org/,https://www.sigsac.org/sacmat.html,https://www.sacmat.org/2024/call-for-papers.php,https://www.researchgate.net/publication/294638929_Proceedings_of_ACM_Symposium_on_Access_Control_Models_and_Technologies_SACMAT_Foreword,https://www.sacmat.org/2024/call-for-papers.php,link3
"""6639c081647e53b594533ce1""",ACM Symposium on Principles of Distributed Computing,https://www.podc.org/podc2024/,https://www.podc.org/podc2024/call-for-papers/,https://www.podc.org/podc2024/call-for-workshops-and-tutorials/,https://www.podc.org/podc2024/schedule/,https://www.podc.org/podc2024/call-for-papers/,link2
"""6639c1686e0c3f3fe99c55fd""",ACM-SIGRAPH Interactive 3D Graphics and Games,https://i3dsymposium.org/2024/,https://i3dsymposium.org/2024/committee.html,https://i3dsymposium.org/2024/papers.html,https://i3dsymposium.org/2024/cfp.html,https://i3dsymposium.org/2024/index.html,
"""6639c16e6e0c3f3fe99c5603""","ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",https://mswimconf.com/,http://mswimconf.com/2022/,https://www.sigmobile.org/mobisys/2024/,http://www-entel.upc.edu/monica.aguilar/activities.html,https://mswimconf.com/2023/,
"""6639c1736e0c3f3fe99c5609""",ACM/SIAM Symposium on Discrete Algorithms,https://www.siam.org/conferences/cm/conference/soda24,https://www.siam.org/conferences/cm/program/accepted-papers/soda24-accepted-papers,https://www.siam.org/conferences/cm/submissions-and-deadlines/soda24-submissions-deadlines,https://evoq-eval.siam.org/conferences/cm/program/soda24,https://www.siam.org/conferences/cm/conference/soda24,link1
"""6639c04d647e53b594533ca9""",ACM International Conference on Knowledge Discovery and Data Mining,https://kdd2024.kdd.org/,https://kdd2024.kdd.org/research-track-call-for-papers/,https://kdd2024.kdd.org/applied-data-science-ads-track-call-for-papers/,https://kdd2024.kdd.org/registration/,https://kdd2024.kdd.org/research-track-call-for-papers/,link2
