_id,title,link1,link2,link3,link4,selected,isTrue,,,,
"""6639c033647e53b594533c8d""","ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",https://conferences.sigcomm.org/sigcomm/2024/,https://conferences.sigcomm.org/sigcomm/2024/cfp/,https://conferences.sigcomm.org/sigcomm/2024/tpc/,https://conferences.sigcomm.org/sigcomm/2024/cf-posters/,https://conferences.sigcomm.org/sigcomm/2024/cfp/,link2,,,,454
"""6639c03c647e53b594533c95""",ACM Conference on Embedded Networked Sensor Systems,http://sensys.acm.org/2024/,http://sensys.acm.org/2024/cfp/,http://sensys.acm.org/2024/people/,http://sensys.acm.org/2024/sponsors/,https://sensys.acm.org/2024/cfp/,link2,,,,
"""6639c048647e53b594533ca3""",ACM International Conference on Emerging Networking Experiments and Technologies,"https://www.sigcomm.org/events/conext-conference#:~:text=CoNEXT'24%2C%20Los%20Angeles%2C,%2C%209%2D12%20December%202024.",https://conferences.sigcomm.org/co-next/2024/,https://conferences.sigcomm.org/co-next/2024/#!/cfp,https://conferences.sigcomm.org/co-next/2024/#!/cfw,https://conferences.sigcomm.org/co-next/2024/#!/home,link2,,,,
"""6639c075647e53b594533cd5""",ACM Special Interest Group on Management of Data Conference,https://2024.sigmod.org/,https://2024.sigmod.org/calls_papers_important_dates.shtml,https://2024.sigmod.org/calls_papers_sigmod_research.shtml,https://2024.sigmod.org/calls_industrial_track_papers.shtml,https://2024.sigmod.org/calls_papers_sigmod_research.shtml,link3,,,,
"""6639c079647e53b594533cd9""","ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",https://www.sacmat.org/,https://www.sigsac.org/sacmat.html,https://www.sacmat.org/2024/call-for-papers.php,https://www.researchgate.net/publication/294639522_Proceedings_of_ACM_Symposium_on_Access_Control_Models_and_Technologies_SACMAT_Foreword,https://www.sacmat.org/2024/call-for-papers.php,link3,,,,
"""6639c081647e53b594533ce1""",ACM Symposium on Principles of Distributed Computing,https://www.podc.org/podc2024/call-for-papers/,https://www.podc.org/podc2024/,https://www.podc.org/podc2024/call-for-papers/,https://www.podc.org/podc2024/call-for-workshops-and-tutorials/,https://www.podc.org/podc2024/call-for-papers/,link1,,,,
"""6639c1686e0c3f3fe99c55fd""",ACM-SIGRAPH Interactive 3D Graphics and Games,https://i3dsymposium.org/2024/,https://i3dsymposium.org/2024/committee.html,https://i3dsymposium.org/2024/papers.html,https://i3dsymposium.org/2024/cfp.html,https://i3dsymposium.org/2024/,link1,,,,
"""6639c16e6e0c3f3fe99c5603""","ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",https://mswimconf.com/,http://mswimconf.com/2022/,https://www.amazon.com/Mswim-17-Conference-Modelling-Simulation/dp/1450357210,https://mswimconf.com/,https://mswimconf.com/,link1,,,,
"""6639c1736e0c3f3fe99c5609""",ACM/SIAM Symposium on Discrete Algorithms,https://www.siam.org/conferences/cm/conference/soda24,https://www.siam.org/conferences/cm/submissions-and-deadlines/soda24-submissions-deadlines,https://www.siam.org/conferences/cm/program/accepted-papers/soda24-accepted-papers,https://evoq-eval.siam.org/conferences/cm/program/soda24,https://www.siam.org/conferences/cm/conference/soda24,link1,,,,
"""6639c04d647e53b594533ca9""",ACM International Conference on Knowledge Discovery and Data Mining,https://kdd2024.kdd.org/,https://kdd2024.kdd.org/research-track-call-for-papers/,https://kdd2024.kdd.org/workshops/,https://kdd2024.kdd.org/applied-data-science-ads-track-call-for-papers/,https://kdd2024.kdd.org/research-track-call-for-papers/,link2,,,,
"""6639c05e647e53b594533cbb""",ACM International Symposium on High Performance Distributed Computing,https://www.hpdc.org/2024/,https://www.hpdc.org/2024/calls-cfp.html,https://www.hpdc.org/2024/calls-phd.html,https://www.hpdc.org/2024/program.html,https://www.hpdc.org/2024/calls-cfp.html,link2,,,,
"""6639c060647e53b594533cbd""",ACM International Wireless Communications and Mobile Computing Conference,https://iwcmc.net/2024/index.php,https://iwcmc.net/2024/Symposia.php,https://iwcmc.net/2024/Workshops.php,https://iwcmc.net/2024/keynotes.php,https://iwcmc.net/2024/index.php,link1,,,,
"""6639c061647e53b594533cbf""",ACM Multimedia,https://2024.acmmm.org/,https://2024.acmmm.org/important-dates,https://2024.acmmm.org/regular-papers,https://2024.acmmm.org/reviewer_guidelines,https://2024.acmmm.org/,link1,,,,
"""6639c063647e53b594533cc1""",ACM SIG International Conference on Computer Graphics and Interactive Techniques,https://s2024.siggraph.org/,https://s2024.siggraph.org/about-the-conference/,https://s2024.siggraph.org/register/,https://s2024.siggraph.org/submit-to-siggraph/,https://s2024.siggraph.org/program/technical-papers/,,,,,
"""6639c07d647e53b594533cdd""",ACM Symposium on Document Engineering,http://www.documentengineering.org/doceng2024,http://www.documentengineering.org/doceng2024/cfp,https://doceng.org/,https://www.doceng.hosting.acm.org/doceng2024/organization,http://www.documentengineering.org/doceng2024,link1,,,,
"""6639c03f647e53b594533c99""",ACM Conference on Object Oriented Programming Systems Languages and Applications,https://2024.splashcon.org/track/splash-2024-oopsla,https://www.sigplan.org/announce/2023-09-11-oopsla-2024/,https://2024.splashcon.org/track/splash-2024-oopsla,https://2024.splashcon.org/track/splash-2024-oopsla-artifacts,https://2024.splashcon.org/track/splash-2024-oopsla,link1,,,,
"""6639c030647e53b594533c89""",AAAI Conference on Human Computation and Crowdsourcing,https://aaai.org/conference/hcomp/,https://twitter.com/hcomp_conf,https://www.humancomputation.com/,https://www.humancomputation.com/program.html,https://www.humancomputation.com/,link3,,,,
"""6639c045647e53b594533c9f""","ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",https://www.openresearch.org/wiki/ACE_(DIMEA),"https://www.interaction-design.org/literature/conference_series/ace#:~:text=ACE%20is%20an%20annual%20international,and%20technologies%20in%20entertainment%20areas.",https://bw.intibs.pl/info/conferenceseries/WUT34075ae7d63042de9d33351ea0e05bf0/Conference%2Bseries%2B%25E2%2580%2593%2BACE%2B%2528DIMEA%2529%2B%25E2%2580%2593%2BInstitute%2Bof%2BLow%2BTemperature%2Band%2BStructure%2BResearch%2BPolish%2BAcademy%2Bof%2BSciences?r=conferenceseries&ps=20&tab=&lang=en,https://bazawiedzy.upwr.edu.pl/search/conferenceseries?ps=20&t=simple&showRel=false&lang=en,,link1,,,,
"""6639c065647e53b594533cc3""",ACM SIGGRAPH/Eurographics Symposium on Computer Animation,https://www.eg.org/wp/event/sca-2023-symposium-on-computer-animation/,https://srmv2.eg.org/COMFy/Conference/SCA_2024,https://computeranimation.org/,https://computeranimation.org/awards,https://computeranimation.org/,link3,,,,
"""6639c06b647e53b594533cc9""",ACM SIGOPS Symposium on Operating Systems Principles,https://sigops.org/s/conferences/sosp/2024/,https://sigops.org/s/conferences/sosp/2024/cfp.html,https://sigops.org/s/conferences/sosp/2024/cfw.html,https://sigops.org/s/conferences/sosp/2024/organizers.html,https://sigops.org/s/conferences/sosp/2024/cfp.html,link2,,,,
"""6639c06d647e53b594533ccb""","ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",https://lctes24.hotcrp.com/,https://pldi24.sigplan.org/home/LCTES-2024,https://pldi23.sigplan.org/home/LCTES-2023,https://conf.researchr.org/series/LCTES,https://pldi24.sigplan.org/home/LCTES-2024,link2,,,,
"""6639c070647e53b594533ccf""",ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),https://sigsim.acm.org/conf/pads/2024/,https://sigsim.acm.org/conf/pads/,https://www.clocate.com/acm-sigsim-conference-on-principles-of-advanced-discrete-simulation-pads/14045/,https://philipp-andelfinger.net/,https://sigsim.acm.org/conf/pads/2024/,link1,,,,
"""6639c084647e53b594533ce5""",ACM Symposium on Theory of Computing,https://acm-stoc.org/stoc2024/stoc2024-cfp.html,https://www.qureca.com/event/stoc-2024/,https://stoc24.hotcrp.com/,https://www.quantumsc.nl/Events/Upcoming-events/event/105/STOC-2024---56th-ACM-Symposium-on-Theory-of-Computing,https://acm-stoc.org/stoc2024/,link1,,,,
